Date,Close/Last,Volume,,,
11/22/2024,$198.00 ,7861395,,,
11/21/2024,$198.20 ,8080302,,,
11/20/2024,$198.19 ,7344446,,,
11/19/2024,$201.07 ,6716028,,,
11/18/2024,$207.18 ,7912927,,,
11/15/2024,$201.12 ,5970371,,,
11/14/2024,$206.00 ,4783753,,,
11/13/2024,$205.72 ,7921929,,,
11/12/2024,$212.78 ,4991236,,,
11/11/2024,$215.87 ,6154795,,,
11/8/2024,$220.29 ,5020685,,,
11/7/2024,$217.54 ,6020774,,,
11/6/2024,$214.97 ,8527503,,,
11/5/2024,$202.46 ,5253150,,,
11/4/2024,$203.66 ,3694171,,,
11/1/2024,$204.92 ,4208858,,,
10/31/2024,$203.16 ,6543044,,,
10/30/2024,$207.93 ,4914038,,,
10/29/2024,$211.35 ,5522773,,,
10/28/2024,$205.83 ,4409206,,,
10/25/2024,$206.93 ,5103208,,,
10/24/2024,$206.61 ,9309285,,,
10/23/2024,$201.74 ,10548520,,,
10/22/2024,$193.97 ,7910843,,,
10/21/2024,$195.77 ,4948108,,,
10/18/2024,$198.47 ,4029545,,,
10/17/2024,$198.30 ,4687134,,,
10/16/2024,$200.69 ,3311293,,,
10/15/2024,$199.84 ,6818809,,,
10/14/2024,$208.66 ,3291630,,,
10/11/2024,$205.11 ,2815781,,,
10/10/2024,$202.47 ,3649446,,,
10/9/2024,$204.97 ,3215047,,,
10/8/2024,$202.21 ,6283806,,,
10/7/2024,$201.27 ,2772389,,,
10/4/2024,$202.71 ,4093115,,,
10/3/2024,$201.67 ,3167023,,,
10/2/2024,$203.43 ,4389444,,,
10/1/2024,$201.60 ,9039870,,,
9/30/2024,$206.57 ,5459632,,,
9/27/2024,$209.14 ,3074450,,,
9/26/2024,$209.26 ,4521278,,,
9/25/2024,$205.06 ,4124647,,,
9/24/2024,$204.94 ,5573298,,,
9/23/2024,$203.85 ,2757402,,,
9/20/2024,$203.30 ,14502850,,,
9/19/2024,$207.60 ,5155550,,,
